Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Quest	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	Spl,Mas,Skil	Use%	Spl,Mas,Skil	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special
9	Nightmare Bat	Bat C	11	105	14	341	6%L2Ring	1	Y	Free	Aggress	3	538	50	0	Disease2	Phys	3D3+5	0	21	Fire	1D9+5	Fire	0	0	0	0	5	5	5	5	0	0	0	0	10	0	0
10	Behemoth	Behemoth A	58	1200	42	7250	59D12	1	N	Long	Normal	2	545	80	2	BrkItem	Phys	2D21+5	0	0	0	0	0	0	0	0	0	15	30	40	40	Imm	15	30	15	15	30	0
11	Ancient Behemoth	Behemoth B	68	1575	60	9860	110D13	1	N	Med	Aggress	2	610	70	2	Brkweapon	Phys	2D30+5	0	0	0	0	0	0	0	0	0	15	35	45	45	Imm	15	35	15	15	35	0
12	Abomination	Behemoth C	85	2325	96	15215	220D13	1	N	Short	Suicidal	2	790	60	3	BrkArmor	Phys	8D8+5	0	0	0	0	0	0	0	0	0	20	45	60	60	Imm	20	45	20	20	45	0
13	Beholder	Beholder A	36	550	24	2916	12%41D3+L4Ring	1	Y	Med	Aggress	3	325	70	S	Insane	Water	6D6+5	Water	0	0	0	0	0	0	0	0	40	25	10	25	Imm	10	Imm	10	20	40	0
14	Eldritch Seer	Beholder B	43	730	36	4085	24%31D7+L5Ring	1	Y	Med	Aggress	3	400	60	SD	Cursex2	Fire	2D27+5	Fire	0	0	0	0	0	0	0	0	45	30	10	30	Imm	10	Imm	10	25	45	0
15	Eye of Terror	Beholder C	50	935	48	5450	36%22D13+L6Ring	1	Y	Short	Aggress	3	482	50	0	DrainSP	Air	17D2+5	Air	0	0	0	0	0	0	0	0	50	35	10	35	Imm	10	Imm	10	25	50	shot,x3
16	Moon Cultist	Cleric Moon A	16	170	12	656	6%7D10+L2Mace	1	N	Med	Normal	2	235	90	CP	0	Phys	2D5+5	Air	0	0	0	0	43	"Toxic Cloud,N,4"	0	0	10	10	10	5	10	10	5	0	Imm	0	0
17	Moon Cult Leader	Cleric Moon B	23	280	18	1265	6%41D3+L3Mace	1	N	Med	Normal	2	285	90	CP	0	Phys	2D5+5	Air	0	0	0	0	43	"Toxic Cloud,E,7"	14	"Bless,E,7"	15	15	15	5	15	15	5	0	Imm	0	0
18	Moon Cult Hierarch	Cleric Moon C	30	415	30	2070	12%22D13+L4Mace	1	N	Med	Aggress	2	341	80	CP	0	Phys	1D11+5	Dark	0	0	0	0	43	"Shrapmetal,M,10"	47	"Power Cure,G,10"	15	15	15	10	15	15	10	0	Imm	0	0
19	Sun Worshipper	Cleric Sun A	16	170	12	656	6%7D10+L2Cape	1	N	Med	Normal	2	235	90	CP	0	Phys	2D5+5	Fire	0	0	0	0	43	"Light Bolt,N,4"	0	0	10	10	10	5	10	10	5	Imm	0	0	0
20	Sun Seer	Cleric Sun B	23	280	18	1265	6%41D3+L3Cape	1	N	Med	Normal	2	285	90	CP	0	Phys	2D5+5	Fire	0	0	0	0	43	"Mind Blast,E,7"	14	"Bless,E,7"	15	15	15	5	15	15	5	Imm	0	0	0
21	Messiah of the Sun	Cleric Sun C	30	415	30	2070	12%22D13+L4Cape	1	N	Med	Aggress	2	341	80	CP	0	Phys	1D11+5	Light	0	0	0	0	43	"Light Bolt,N,10"	47	"Power Cure,G,10"	15	15	15	10	15	15	10	Imm	0	0	0
22	Devil Drone	Devil A	43	730	30	4085	0	1	N	Med	Suicidal	2	385	60	0	Disease3	Phys	3D5+5	Fire	0	0	0	0	29	"Fireball,E,6"	0	0	Imm	30	25	45	Imm	10	30	25	30	30	0
23	Hell Knight	Devil B	56	1130	42	6776	0	1	N	Med	Aggress	2	536	50	0	Insane	Phys	1D17+5	Fire	0	0	0	0	29	"Fireball,E,8"	21	"Meteor Shower,M,8"	Imm	40	30	60	Imm	15	40	30	40	40	0
24	Infernal	Devil C	70	1655	54	10430	0	1	N	Short	Aggress	2	714	40	0	DrainSP	Phys	2D8+5	Fire	0	0	0	0	29	"Incinerate,M,12"	21	"Meteor Shower,M,12"	Imm	50	35	70	Imm	15	50	35	50	50	0
25	Storm Dragon	Dragon A	86	2375	72	15566	1031D3+L6	1	Y	Long	Aggress	4	864	70	2	0	Air	2D78+5	Air	0	0	0	0	0	0	0	0	45	Imm	45	45	45	20	60	20	20	60	0
26	Azure Dragon	Dragon B	93	2730	96	18135	330D13+L6	1	Y	Med	Aggress	4	983	65	3	0	Water	17D9+5	Water	0	0	0	0	0	0	0	0	50	50	Imm	50	50	20	65	20	20	65	0
27	Firestorm Dragon	Dragon C	100	3110	120	20900	440D13+L6	1	Y	Short	Aggress	4	1188	60	4	BrkArmor	Fire	18D10+5	Fire	0	0	0	0	0	0	0	0	Imm	50	Imm	50	50	20	70	20	20	70	0
28	Giant Firefly	Dragonfly A	4	35	4	68	4D6	1	Y	Free	Normal	3	600	50	0	0	Phys	1D5+5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
29	Giant Dragonfly	Dragonfly B	5	45	9	95	9D7	1	Y	Free	Normal	3	534	50	0	0	Phys	1D9+5	0	0	0	0	0	14	"Fire Bolt,N,2"	0	0	15	5	0	5	0	0	0	0	0	0	0
30	Dragonfly Queen	Dragonfly C	8	75	14	200	13D7	1	Y	Free	Normal	3	481	50	0	Weak	Phys	3D3+5	0	0	0	0	0	21	"Fire Bolt,N,4"	0	0	25	5	0	5	0	0	0	0	0	0	0
31	Dwarven Brute	Dwarf A	16	170	7	656	6%7D10+L1Axe	1	N	Med	Normal	2	235	70	G	0	Phys	3D3+5	0	0	0	0	0	0	0	0	0	20	20	10	50	5	0	5	0	0	50	0
32	Dwarven Berserker	Dwarf B	23	280	14	1265	12%41D3+L2Axe	1	N	Med	Aggress	2	285	80	G	0	Phys	4D3+5	0	0	0	0	0	0	0	0	0	25	25	15	70	5	0	5	0	0	70	0
33	Dwarven Slayer	Dwarf C	30	415	24	2070	30%22D13+L3Axe	1	N	Short	Suicidal	2	341	80	G	BrkArmor	Phys	4D3+5	0	0	0	0	0	0	0	0	0	30	30	20	90	10	0	10	0	0	90	0
34	Air Elemental	Elemental Air A	21	245	12	1071	0	0	Y	Free	Suicidal	3	426	90	0	BrkItem	Air	4D5+5	Air	0	0	0	0	29	"Sparks,E,4"	0	0	15	Imm	15	5	Imm	Imm	Imm	5	5	15	0
35	Storm Elemental	Elemental Air B	25	315	14	1475	0	0	Y	Free	Suicidal	3	489	90	0	BrkItem	Air	2D22+5	Air	0	0	0	0	29	"Sparks,M,8"	29	"Lightning Bolt,M,8"	20	Imm	20	5	Imm	Imm	Imm	5	5	20	0
36	Cyclone Elemental	Elemental Air C	33	480	16	2475	0	0	Y	Free	Suicidal	3	583	80	0	BrkItem	Air	19D2+5	Air	0	0	0	0	29	"Sparks,G,12"	29	"Lightning Bolt,G,12"	25	Imm	25	10	Imm	Imm	Imm	10	10	25	0
37	Earth Elemental	Elemental Earth A	30	415	24	2070	36%L3Gem	0	N	Free	Suicidal	2	375	90	0	BrkItem	Phys	9D4+5	Earth	0	0	0	0	36	"Blades,E,6"	72	"Stone Skin,E,4"	20	10	20	Imm	Imm	Imm	Imm	10	10	20	0
38	Rock Elemental	Elemental Earth B	33	480	30	2475	42%L4Gem	0	N	Free	Suicidal	2	421	90	0	BrkArmor	Phys	2D39+5	Earth	0	0	0	0	36	"Rock Blast,M,8"	72	"Stone Skin,M,8"	25	10	25	Imm	Imm	Imm	Imm	10	10	25	0
39	Obsidian Elemental	Elemental Earth C	40	650	36	3560	48%L5Gem	0	N	Free	Suicidal	2	487	80	0	Uncon	Phys	23D4+5	Earth	0	0	0	0	36	"Blades,G,12"	72	"Stone Skin,G,12"	30	10	30	Imm	Imm	Imm	Imm	10	10	30	0
40	Living Flame	Elemental Fire A	21	245	14	1071	0	0	Y	Free	Suicidal	3	426	90	0	0	Fire	2D10+5	Fire	0	0	0	0	29	"Fire Bolt,E,6"	72	"Haste,E,4"	Imm	10	5	15	Imm	Imm	Imm	5	5	15	0
41	Fire Elemental	Elemental Fire B	30	415	18	2070	0	0	Y	Free	Suicidal	3	520	90	0	0	Fire	6D9+5	Fire	0	0	0	0	29	"Fireball,M,8"	72	"Haste,M,8"	Imm	15	10	20	Imm	Imm	Imm	10	10	20	0
42	Inferno Elemental	Elemental Fire C	39	625	21	3393	0	0	Y	Free	Suicidal	3	623	80	0	BrkArmor	Fire	14D6+5	Fire	0	0	0	0	29	"Incinerate,G,12"	72	"Haste,G,12"	Imm	20	10	30	Imm	Imm	Imm	10	10	30	0
43	Dancing Light	Elemental Light A	22	260	13	1166	0	0	Y	Free	Suicidal	3	471	80	0	0	Light	2D11+5	Light	0	0	0	0	0	0	0	0	15	15	15	15	Imm	Imm	Imm	Imm	5	15	explode,5D8,light
44	Bright Light	Elemental Light B	28	375	16	1820	0	0	Y	Free	Suicidal	3	550	80	0	0	Light	10D5+5	Light	0	0	0	0	0	0	0	0	15	15	15	15	Imm	Imm	Imm	Imm	5	20	explode,5D8,light
45	Light Elemental	Elemental Light C	38	600	22	3230	0	0	Y	Free	Suicidal	3	664	80	0	Uncon	Light	16D4+5	Light	0	0	0	0	0	0	0	0	20	20	20	20	Imm	Imm	Imm	Imm	10	25	explode,5D8,light
46	Sprite	Elemental Water A	21	245	12	1071	0	0	N	Free	Suicidal	2	342	90	0	Weak	Water	4D11+5	Water	0	0	0	0	43	"Ice Bolt,E,4"	0	0	5	5	Imm	10	Imm	Imm	Imm	10	10	10	0
47	Sylph	Elemental Water B	28	375	15	1820	0	0	N	Free	Suicidal	2	401	90	0	Weak	Water	5D12+5	Water	0	0	0	0	43	"Acid Burst,M,8"	0	0	5	5	Imm	15	Imm	Imm	Imm	15	15	15	0
48	Siren	Elemental Water C	36	550	19	2916	0	0	N	Free	Suicidal	2	470	80	0	Weak	Water	2D52+5	Water	0	0	0	0	43	"Ice Blast,G,12"	0	0	10	10	Imm	20	Imm	Imm	Imm	20	20	20	0
49	Elven Scout	Elf Archer A	19	215	14	893	6%10D9+L2Bow	1	N	Short	Normal	4	243	70	H	0	Phys	4D3+5	Arrow	0	0	0	0	0	0	0	0	5	5	5	5	5	5	0	0	0	5	0
50	Elven Archer	Elf Archer B	27	355	16	1701	6%18D10+L3Bow	1	N	Short	Aggress	4	281	70	H	0	Phys	6D3+5	Arrow	0	0	0	0	0	0	0	0	5	5	5	5	5	5	0	0	0	5	0
51	Sylvan Archer	Elf Archer C	35	525	24	2765	12%22D13+L4Bow	1	N	Short	Aggress	4	322	60	H	0	Phys	8D3+5	Arrow	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	0	0	10	shot,x2
52	Elven Pikeman	Elf Spearman A	19	215	18	893	12%11D10+L2Spear	1	N	Long	Normal	2	365	80	H	0	Phys	2D5+5	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	0	0	10	0
53	Elven Lancer	Elf Spearman B	24	295	24	1368	18%22D10+L3Spear	1	N	Long	Aggress	2	417	70	H	0	Phys	4D3+5	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	0	0	15	0
54	Sylvan Lancer	Elf Spearman C	30	415	33	2070	30%23D16+L4Spear	1	N	Med	Aggress	2	477	60	H	Brkweapon	Phys	2D12+5	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	0	15	0
55	Militia	Fighter Chain A	21	245	21	1071	6%41D3+L1Chain	1	N	Long	Normal	2	342	90	XE	0	Phys	4D2+5	0	0	0	0	0	0	0	0	0	5	5	5	5	10	5	10	0	0	10	0
56	Soldier	Fighter Chain B	27	355	28	1701	6%22D13+L2Chain	1	N	Long	Aggress	2	397	80	XE	0	Phys	4D2+5	0	0	0	0	0	0	0	0	0	5	5	5	5	15	5	15	0	0	15	0
57	Elite Soldier	Fighter Chain C	35	525	36	2765	12%31D14+L3Chain	1	N	Med	Aggress	2	465	70	XE	Brkweapon	Phys	4D2+5	0	0	0	0	0	0	0	0	0	10	10	10	10	20	10	20	0	0	20	0
58	Thug	Fighter Leather A	12	115	14	396	6%4D22+L1Leather	1	N	Long	Normal	2	280	100	E	0	Phys	2D5+5	0	0	0	0	0	0	0	0	0	0	5	5	0	5	0	10	0	0	5	0
59	Raider	Fighter Leather B	16	170	16	656	6%6D25+L2Leather	1	N	Long	Aggress	2	323	90	E	0	Phys	2D5+5	0	0	0	0	0	0	0	0	0	0	5	5	0	5	0	10	0	0	5	0
60	Marauder	Fighter Leather C	22	260	19	1166	12%79D3+L3Leather	1	N	Med	Aggress	2	377	80	E	Stealx2	Phys	2D5+5	0	0	0	0	0	0	0	0	0	0	5	5	0	5	0	15	0	0	5	0
61	Swordfighter	Fighter Plate A	53	1030	54	6095	12%4D377+L4Plate	1	N	Long	Normal	2	523	80	XK	0	Phys	3D9+5	0	0	0	0	0	47	"Bless,N,3"	47	"Heroism,N,3"	35	10	55	30	10	10	35	10	10	30	0
62	Champion of the Sword	Fighter Plate B	66	1495	78	9306	12%30D100+L5Plate	1	N	Med	Aggress	2	694	70	XK	0	Phys	2D15+5	0	0	0	0	0	47	"Bless,E,6"	47	"Heroism,E,6"	45	15	70	35	15	15	45	15	15	35	0
63	Master of the Sword	Fighter Plate C	80	2090	102	13520	36%60D100+L6Plate	1	N	Short	Aggress	2	893	50	XK	Brkweapon	Phys	2D16+5	0	0	0	0	0	47	"Bless,M,9"	47	"Heroism,M,9"	55	20	80	40	20	20	55	20	20	40	0
64	Stone Gargoyle	Gargoyle A	26	335	26	1586	6%7D10+L2Amulet	0	Y	Long	Aggress	3	619	80	0	Weak	Phys	2D16+5	0	0	0	0	0	0	0	0	0	20	5	30	80	Imm	Imm	Imm	5	5	30	0
65	Marble Gargoyle	Gargoyle B	30	415	33	2070	12%41D3+L2Amulet	0	Y	Long	Aggress	3	693	80	0	Paralyze	Phys	2D16+5	0	0	0	0	0	0	0	0	0	20	10	30	90	Imm	Imm	Imm	10	10	30	0
66	Obsidian Gargoyle	Gargoyle C	38	600	36	3230	24%23D16+L3Amulet	0	Y	Med	Suicidal	3	830	70	0	Paralyze	Phys	5D5+5	0	0	0	0	0	0	0	0	0	25	10	40	115	Imm	Imm	Imm	10	10	Imm	0
67	Djinn	Genie A	40	650	42	3560	36%L4	0	Y	Free	Aggress	3	484	60	M	Drunk	Water	9D5+5	Water	0	0	0	0	36	"Acid Burst,M,8"	0	0	40	40	Imm	30	40	10	40	10	10	40	0
68	Efreet	Genie B	47	845	54	4841	36%L5	0	Y	Free	Aggress	3	572	50	M	Asleep	Fire	3D21+5	Fire	0	0	0	0	36	"Fireball,M,8"	0	0	Imm	50	Imm	35	50	10	50	10	10	50	0
69	Efreet Lord	Genie C	55	1095	66	6545	36%L6	0	Y	Free	Normal	3	702	40	M	Afraid	Air	12D5+5	Air	0	0	0	0	36	"Lightning Bolt,M10"	0	0	Imm	Imm	Imm	40	55	15	55	15	15	55	0
70	Phantom	Ghost A	23	280	30	1265	6%L2	0	Y	Free	Suicidal	3	477	100	CP	Afraid	Phys	2D7+5	0	0	0	0	0	0	0	0	0	15	15	Imm	15	Imm	5	Imm	0	70	25	0
71	Haunting	Ghost B	28	375	36	1820	12%L3	0	Y	Long	Suicidal	3	550	90	CP	Agex2	Phys	1D35+5	0	0	0	0	0	0	0	0	0	20	15	Imm	20	Imm	5	Imm	0	85	30	0
72	Poltergeist	Ghost C	34	500	42	2618	24%L4	0	Y	Med	Suicidal	3	681	90	CP	Uncon	Phys	8D6+5	0	0	0	0	0	0	0	0	0	25	20	Imm	25	Imm	10	Imm	0	105	35	0
73	Goblin Rioter	Goblin A	6	55	7	126	5D4	1	N	Med	Suicidal	1	208	100	W	0	Phys	1D11+5	0	14	Phys	3D3+5	Arrow	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
74	Goblin Marauder	Goblin B	7	65	12	161	10D4	1	N	Med	Aggress	1	224	100	W	0	Phys	1D11+5	0	21	Phys	3D3+5	Arrow	0	0	0	0	0	5	5	0	0	0	0	0	0	5	0
75	Goblin Warlord	Goblin C	10	95	16	290	12%16D5+L1	1	N	Short	Normal	1	246	90	W	Drunk	Phys	1D11+5	0	36	Phys	3D3+5	Arrow	0	0	0	0	5	5	5	5	5	0	5	5	0	5	0
76	Gogling	Gog A	10	95	7	290	0	1	N	Short	Normal	2	273	90	S	0	Fire	1D12+5	Fire	0	0	0	0	0	0	0	0	Imm	10	0	10	5	5	10	0	0	10	explode,2D10,fire
77	Gog	Gog B	13	130	12	455	0	1	N	Short	Normal	2	312	85	S	0	Fire	1D12+5	Fire	0	0	0	0	0	0	0	0	Imm	10	0	10	10	5	10	0	0	10	explode,2D10,fire
78	Magog	Gog C	18	200	16	810	0	1	N	Short	Aggress	2	361	80	S	0	Fire	2D13+5	Fire	0	0	0	0	0	0	0	0	Imm	15	0	15	10	5	15	0	0	15	explode,2D10,fire
79	Bronze Golem	Golem A	31	435	48	2201	27D8	0	N	Short	Suicidal	1	275	100	0	BrkArmor	Phys	1D45+5	0	14	Phys	2D15+5	Arrow	0	0	0	0	35	20	35	35	Imm	Imm	Imm	35	0	35	explode,4D10,earth
80	Brass Golem	Golem B	40	650	72	3560	29D12	0	N	Short	Suicidal	1	318	90	0	Brkweapon	Phys	1D65+5	0	21	Phys	2D15+5	Arrow	0	0	0	0	40	30	40	40	Imm	Imm	Imm	40	0	40	explode,4D10,earth
81	Gold Golem	Golem C	50	935	96	5450	52D11	0	N	Short	Suicidal	1	368	80	0	BrkItem	Phys	11D6+5	0	29	Phys	2D16+5	Arrow	0	0	0	0	50	35	50	50	Imm	Imm	Imm	50	0	50	explode,4D10,earth
82	Griffin	Griffin A	29	395	18	1943	13D7	1	Y	Free	Normal	3	535	50	0	0	Phys	4D7+5	0	0	0	0	0	0	0	0	0	5	15	15	5	5	5	15	30	0	5	0
83	Ferocious Griffin	Griffin B	37	575	26	3071	13D11	1	Y	Long	Aggress	3	704	60	0	0	Phys	4D8+5	0	0	0	0	0	0	0	0	0	10	20	20	10	10	10	20	40	0	10	0
84	Griffin Alpha	Griffin C	45	785	36	4455	79D3	1	Y	Med	Suicidal	3	816	70	0	BrkArmor	Phys	2D15+5	0	0	0	0	0	0	0	0	0	10	25	25	10	10	10	25	45	0	10	0
85	Harpy Chick	Harpy A	15	155	14	585	6D10	1	Y	Long	Aggress	3	445	90	X	Drunk	Phys	2D9+5	0	0	0	0	0	0	0	0	0	5	10	5	5	0	5	5	0	5	5	0
86	Harpy Pack Leader	Harpy B	17	185	16	731	10D9	1	Y	Long	Aggress	3	550	90	X	Agex3	Phys	2D9+5	0	0	0	0	0	0	0	0	0	5	10	5	5	0	5	5	0	5	5	0
87	Harpy Hag	Harpy C	19	215	19	893	24%41D3+L2Ring	1	Y	Long	Suicidal	3	660	80	X	Cursex2	Phys	2D9+5	0	0	0	0	0	0	0	0	0	5	10	5	5	0	5	5	0	5	5	0
88	Foul Hydra	Hydra A	51	965	26	5661	59D12+L3	1	N	Med	Aggress	2	453	80	0	0	Water	18D5+5	Water	0	0	0	0	0	0	0	0	25	25	55	25	25	10	25	10	10	25	0
89	Pyro Hydra	Hydra B	58	1200	52	7250	110D13+L4	1	N	Med	Aggress	2	523	80	0	0	Fire	17D8+5	Fire	0	0	0	0	0	0	0	0	60	30	30	30	30	15	30	15	15	30	0
90	Chaos Hydra	Hydra C	65	1455	79	9035	220D13+L5	1	N	Short	Aggress	2	597	80	0	BrkArmor	Ener	19D7+5	Ener	0	0	0	0	0	0	0	0	45	45	45	45	35	15	35	35	35	35	0
91	Lich	Lich A	26	335	18	1586	12%79D3+L3Misc	0	N	Med	Aggress	4	295	90	DC	0	Fire	4D7+5	Fire	0	0	0	0	29	"Toxic Cloud,E,4"	0	0	30	30	30	20	Imm	0	30	0	30	15	0
92	Power Lich	Lich B	33	480	24	2475	12%59D7+L4Misc	0	N	Med	Aggress	4	351	80	DC	Afraid	Air	6D7+5	Air	0	0	0	0	29	"Shrapmetal,M,8"	0	0	35	35	35	25	Imm	0	35	0	35	20	0
93	Lich King	Lich C	40	650	30	3560	36%43D20+L5Misc	0	N	Short	Suicidal	4	412	70	DC	Insane	Dark	2D29+5	Dark	0	0	0	0	43	"Dragon Breath,M,12"	72	"Pain Reflection,M,12"	40	40	40	30	Imm	0	40	0	40	20	0
94	Sorcerer	Mage A	33	480	16	2475	12%21D12+L3Staff	1	N	Med	Aggress	4	351	90	0	0	Light	1D59+5	Light	0	0	0	0	29	"Dispel Magic,E,4"	0	0	35	35	35	25	20	10	20	Imm	10	10	Summon,air,Elemental Light A
95	Warmage	Mage B	40	650	21	3560	12%27D17+L4Staff	1	N	Med	Aggress	4	412	80	0	0	Light	2D39+5	Light	0	0	0	0	43	"Dispel Magic,M,8"	72	"Hour of Power,M,8"	40	40	40	30	20	10	20	Imm	10	10	Summon,air,Elemental Light B
96	Archmage	Mage C	50	935	36	5450	36%46D15+L5Staff	1	N	Short	Aggress	4	490	70	0	0	Ener	16D5+5	Ener	0	0	0	0	47	"Hour of Power,M,12"	47	"Day of Protection,M,12"	50	50	50	35	25	10	25	Imm	10	10	Summon,air,Elemental Light C
97	Minicore	Manticore A	24	295	21	1368	0	1	N	Long	Normal	3	417	90	DR	Poison2	Phys	1D15+5	Arrow	0	0	0	0	0	0	0	0	15	15	15	15	15	15	15	15	15	15	0
98	Manticore 	Manticore B	30	415	30	2070	0	1	N	Med	Aggress	3	477	80	DR	Poison3	Phys	1D15+5	Arrow	0	0	0	0	0	0	0	0	15	15	15	15	15	15	15	15	15	15	0
99	Scorpicore	Manticore C	36	550	38	2916	0	1	N	Short	Suicidal	3	542	70	DR	Poison3x2	Phys	5D5+5	Arrow	0	0	0	0	0	0	0	0	20	20	20	20	20	20	20	20	20	20	0
100	Fallen Gorgon	Medusa A	38	600	24	3230	12%79D3+L3Misc	1	N	Med	Normal	2	368	80	0	Stone	Phys	3D7+5	Arrow	0	0	0	0	0	0	0	0	40	25	Imm	Imm	Imm	20	40	40	40	0	0
101	Mighty Gorgon	Medusa B	41	675	30	3731	12%59D7+L4Misc	1	N	Med	Aggress	2	416	80	0	Stone	Phys	2D15+5	Arrow	0	0	0	0	0	0	0	0	45	30	Imm	Imm	Imm	20	45	45	45	10	0
102	Gorgon Empress	Medusa C	45	785	36	4455	36%43D20+L5Misc	1	N	Short	Suicidal	2	470	70	0	Stone	Phys	1D39+5	Arrow	0	0	0	0	0	0	0	0	Imm	Imm	Imm	Imm	Imm	Imm	Imm	Imm	Imm	10	0
103	Minotaur Warrior	Minotaur A	50	935	36	5450	12%79D3+L4Axe	1	N	Long	Normal	2	511	80	0	Insane	Phys	3D9+5	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	25	10	10	25	0
104	Minotaur Executor	Minotaur B	56	1130	42	6776	12%30D20+L5Axe	1	N	Med	Aggress	2	558	70	0	Uncon	Phys	3D9+5	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	30	15	15	30	0
105	Minotaur Lord	Minotaur C	70	1655	48	10430	24%197D7+L6Axe	1	N	Short	Suicidal	2	714	60	0	Dead	Phys	2D15+5	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	35	15	15	35	0
106	Monk	Monk A	14	140	19	518	6%L1Misc	1	N	Long	Normal	2	287	100	M	0	Phys	1D21+5	0	0	0	0	0	14	"Fate,N,3"	72	"Hammerhands,E,3"	10	10	10	10	15	10	15	45	0	5	0
107	Master Monk	Monk B	19	215	22	893	6%L2Misc	1	N	Long	Aggress	2	334	90	M	0	Phys	2D10+5	0	0	0	0	0	14	"Harm,E,6"	72	"Hammerhands,E,6"	10	10	10	10	20	20	20	60	0	5	0
108	Enlightened	Monk C	27	355	33	1701	12%L3Misc	1	N	Long	Suicidal	2	397	80	M	Uncon	Phys	2D10+5	0	0	0	0	0	14	"Mind Blast,E,9"	72	"Hammerhands,E,9"	15	15	15	15	30	30	30	Imm	0	15	0
109	Reanimator	Necromancer A	31	435	16	2201	12%21D12+L3Boots	1	N	Med	Aggress	4	344	90	P	0	Dark	9D4+5	Dark	0	0	0	0	29	"Toxic Cloud,E,4"	0	0	20	20	20	20	15	10	10	0	Imm	10	Summon,ground,Ghost A
110	Necromancer	Necromancer B	36	550	21	2916	12%27D17+L4Boots	1	N	Med	Aggress	4	397	80	P	0	Dark	15D3+5	Dark	0	0	0	0	43	"Shrapmetal,M,8"	0	0	25	25	25	25	20	10	10	0	Imm	10	Summon,ground,Ghost B
111	Queen of the Dead	Necromancer C	45	785	36	4455	36%46D15+L5Boots	1	N	Short	Aggress	4	470	70	P	Dead	Dark	15D4+5	Dark	0	0	0	0	43	"Dragon Breath,M,10"	72	"Pain Reflection,M,10"	30	30	30	30	25	10	10	0	Imm	10	Summon,ground,Ghost C
112	Acidic Blob	Ooze A	16	170	9	656	6%L2	0	N	Free	Normal	1	176	100	0	Brkweapon	Water	1D7+5	0	0	0	0	0	0	0	0	0	0	0	10	5	Imm	Imm	Imm	0	0	Imm	0
