	Map Stats			First					x5	D20's		Random Encounter																					
33	The Breeding Zone	d10.blv	0	0	10	0	7	10	10	5	3	15	40	30	30	Behemoth	Behemoth	3	 1-3	Elemental Fire	Elemental Fire	3	 2-4	Gog	Gog	5	 4-7	3	CAVE	0	training ground for the underworld.	8	x
34	Temple of the Dark	t02.blv	0	0	15	168	7	10	15	8	5	15	40	30	30	Cleric Moon	Cleric Moon	4	 4-7	Vampire	Vampire	2	 3-5	Ghoul	Ghoul	4	 4-6	13	STONEROOM	0	revival branch of the Church of the Moon	8	x
35	Grand Temple of the Moon	d19.blv	0	0	9	84	7	10	9	4	3	15	100	0	0	Cleric Moon	Cleric Moon	3	 3-6	Wight	Wight	2	 3-5	0	0	1	 1-3	13	STONEROOM	0	Ruined old temple of the moon	9	
36	Grand Temple of the Sun	t03.blv	0	0	9	84	7	10	9	4	3	15	100	0	0	Cleric Sun	Cleric Sun	3	 3-5	Monk	Monk	2	 2-4	0	0	1	 1-3	13	STONEROOM	0	Ruined old temple of the sun	9	
37	Thunderfist Mountain	d07.blv	0	0	10	84	7	10	10	5	4	15	100	0	0	Warlock	Warlock	4	 2-4	Minotaur	Minotaur	2	 1-2	Beholder	Beholder	2	 2-4	16	CAVE	0	Volcano dungeon connecting to Stone city (dungeon 20)	10	x
38	The Maze	d02.blv	0	0	12	112	7	10	12	6	5	15	100	0	0	Minotaur	Minotaur	4	 3-5	Hydra	Hydra	2	 2-3	Warlock	Warlock	3	 1-4	3	STONEROOM	0	minotaur maze used by the warlocks to breed new minotaurs.	10	x
39	Stone City	d24.blv	0	0	6	112	7	7	6	3	2	15	0	0	100	Dwarf	Dwarf	1	 1-3	Troglodyte	Troglodyte	3	 2-4	0	0	1	 1-3	19	CAVE	0	Dwarven city.  Charge to enter if no dwarves in party.	11	x
40	Colony Zod	d27.blv	0	0	20	56	7	10	20	10	5	15	100	0	0	Devil	Devil	4	 3-5	0	0	1	 1-3	0	0	1	 1-3	3	STONEROOM	0	Surviving colony of the devils	12	x
41	The Mercenary Guild	d20.blv	0	0	11	112	7	10	11	5	4	15	100	0	0	Archer	Archer	4	 3-7	Fighter Leather	Fighter Leather	5	 5-8	Fighter Plate	Fighter Plate	3	 2-4	19	CAVE	0	main mercenary guild	13	
42	The Tidewater Caverns	d17.blv	0	0	9	84	7	10	9	4	2	15	0	100	0	Thief	Thief	4	 3-7	Ghost	Ghost	3	 1-4	Skeleton Warrior	Skeleton Warrior	5	 2-5	3	CAVE	0	pirate's caves.  Fills with water periodically	13	
43	The Wine Cellar	d16.blv	0	0	13	84	7	10	13	7	4	15	100	0	0	Vampire	Vampire	4	 3-5	Bat	Bat	5	 3-9	Necromancer	Necromancer	3	 1-3	3	STONEROOM	0	"Basement under house for vampire ""family"""	13	
44	The Titans' Stronghold	d09.blv	0	0	16	168	7	10	16	8	6	15	50	50	0	Titan	Titan	3	 1-2	Dragon	Dragon	3	 1-1	0	0	1	 1-3	16	CAVE	0	home of the giants	14	
45	The Temple of Baa	d04.blv	0	0	11	84	7	10	11	5	4	15	40	30	30	Cleric Moon	Cleric Moon	3	 3-6	Devil	Devil	3	 1-3	Spider	Spider	5	 3-8	13	STONEROOM	0	temple of Baa that hasn't quite got the bad news yet.	14	
46	The Hall under the Hill	d22.blv	0	0	6	56	7	10	6	3	1	15	100	0	0	Dragonfly	Dragonfly	5	 4-7	0	0	1	 1-3	0	0	1	 1-3	3	CAVE	0	Faerie mound with shrunken dwarves	14	
47	The Lincoln	d23.blv	0	0	20	336	7	10	20	10	6	15	100	0	0	Robot	Robot	3	 1-3	0	0	1	 1-3	0	0	1	 1-3	8	CAVE	0	ship used to transport MMIII characters here	15	x
48	Castle Gryphonheart	d33.blv	0	0	6	112	7	10	6	3	3	15	40	30	30	Archer	Archer	2	 3-5	Fighter Chain	Fighter Chain	2	 4-6	Fighter Plate	Fighter Plate	1	 2-4	14	STONEROOM	0	Queen Catherine's castle	3	
49	Castle Navan	d32.blv	0	0	6	112	7	10	6	3	3	15	40	30	30	Elf Spearman	Elf Spearman	2	 2-4	Elf Archer	Elf Archer	2	 3-6	Dragonfly	Dragonfly	4	 3-6	14	STONEROOM	0	Elf king's castle	4	
50	Castle Lambent	d30.blv	0	0	12	84	7	10	12	6	5	15	40	30	30	Mage	Mage	3	 3-5	Angel	Angel	3	 1-4	Golem	Golem	3	 2-4	15	STONEROOM	0	Wizard's castle (council of wizards)	7	
51	Castle Gloaming	d03.blv	0	0	12	84	7	10	12	6	5	15	40	30	30	Lich	Lich	3	 2-5	Vampire	Vampire	3	 3-6	Necromancer	Necromancer	3	 1-4	7	STONEROOM	0	Necromancer's castle (headed by Archibald)	8	
52	The Dragon's Lair	d28.blv	0	0	5	168	7	10	5	3	2	15	0	100	0	Dragon	Dragon	1	 1-2	Rat	Rat	3	 2-5	0	0	1	 1-3	3	CAVE	0	Dragon's Lair on Emerald Island		x
53	Barrow VII	mdk01.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Gog	Gog	1	 1-3	Rat	Rat	3	 2-5	0	0	1	 1-3	5	CAVE	0			
54	Barrow IV	mdk02.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Skeleton Warrior	Skeleton Warrior	3	 2-5	Bat	Bat	3	 2-4	0	0	1	 1-3	5	CAVE	0			
55	Barrow II	mdk03.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Zombie	Zombie	3	 2-4	Rat	Rat	3	 2-5	0	0	1	 1-3	5	CAVE	0			
56	Barrow XIV	mdk04.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Ghoul	Ghoul	2	 2-4	Bat	Bat	3	 2-4	0	0	1	 1-3	5	CAVE	0			
57	Barrow III	mdk05.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Ghoul	Ghoul	2	 2-4	Rat	Rat	3	 2-5	0	0	1	 1-3	5	CAVE	0			
58	Barrow IX	mdt01.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Gog	Gog	1	 1-3	Bat	Bat	3	 2-4	0	0	1	 1-3	5	CAVE	0			
59	Barrow VI	mdt02.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Wight	Wight	1	 2-4	Rat	Rat	3	 2-5	0	0	1	 1-3	5	CAVE	0			
60	Barrow I	mdt03.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Wight	Wight	1	 2-4	Bat	Bat	3	 2-4	0	0	1	 1-3	5	CAVE	0			
61	Barrow VIII	mdt04.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Wight	Wight	1	 2-4	Rat	Rat	3	 2-5	0	0	1	 1-3	5	CAVE	0			
62	Barrow XIII	mdt05.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Ghoul	Ghoul	2	 2-4	Bat	Bat	3	 2-4	0	0	1	 1-3	5	CAVE	0			
63	Barrow X	mdr01.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Gog	Gog	1	 1-3	Rat	Rat	3	 2-5	0	0	1	 1-3	5	CAVE	0			
64	Barrow XII	mdr02.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Skeleton Warrior	Skeleton Warrior	3	 2-5	Bat	Bat	3	 2-4	0	0	1	 1-3	5	CAVE	0			
65	Barrow V	mdr03.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Skeleton Warrior	Skeleton Warrior	3	 2-5	Rat	Rat	3	 2-5	0	0	1	 1-3	5	CAVE	0			
66	Barrow XI	mdr04.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Zombie	Zombie	3	 2-4	Bat	Bat	3	 2-4	0	0	1	 1-3	5	CAVE	0			
67	Barrow XV	mdr05.blv	0	0	5	7	7	10	5	3	1	15	50	50	0	Zombie	Zombie	3	 2-4	Rat	Rat	3	 2-5	0	0	1	 1-3	5	CAVE	0			
68	Zokarr's Tomb	d13.blv	0	0	5	14	7	10	5	3	3	15	0	100	0	Wight	Wight	1	 2-4	Ghoul	Ghoul	1	 2-4	0	0	1	 1-3	5	CAVE	0			
69	Nighon Tunnels	d35.blv	0	0	8	112	7	10	8	4	3	15	0	100	0	Dwarf	Dwarf	3	 2-4	Gog	Gog	4	 3-5	Warlock	Warlock	2	 1-3	3	CAVE	0			
70	Tunnels to Eeofol	d36.blv	0	0	10	84	7	10	10	5	5	15	100	0	0	Behemoth	Behemoth	3	 2-4	Medusa	Medusa	3	 2-5	0	0	1	 1-3	16	CAVE	0			
71	William Setag's Tower	mdt10.blv	0	0	8	168	7	10	8	4	3	15	50	50	0	Fighter Plate	Fighter Plate	1	 2-4	Necromancer	Necromancer	2	 2-4	0	0	1	 1-3	19	STONEROOM	0			
72	Wromthrax's Cave	mdt09.blv	0	0	10	168	7	10	10	5	4	100	100	0	0	Dragon	Dragon	1	 1-2	0	0	3	 1-3	0	0	1	 1-3	3	CAVE	0			
73	The Hidden Tomb	mdt11.blv	0	0	12	112	7	10	12	6	4	10	50	50	0	Lich	Lich	3	 1-4	Vampire	Vampire	3	 2-5	0	0	1	 1-3	3	CAVE	0			
74	The Strange Temple	nwc.blv	0	0	1	112	7	10	1	1	1	0	0	0	0	0	0	1	 1-3	0	0	3	 1-3	0	0	1	 1-3	19	STONEROOM	0			
75	The Small House	mdt15.blv	0	0	20	672	7	10	20	10	6	0	0	0	0	zBlasterGuy	zBlasterGuy	1	1	Rat	Rat	3	 1-3	0	0	1	 1-3	19	STONEROOM	0			
76	The Arena	d05.blv	0	0	1	0	7	10	1	1	1	0	0	0	0	0	0	1	 1-3	0	0	1	 1-3	0	0	1	 1-3	8	ARENA	0			
