	Barbarian	Cavalier	Champion	BlackKnight	Thief	Rogue	Spy	Assassin	Monk	Initiate	Master	Ninja	Paladin	Crusader	Hero	Villain	Archer	WarriorMage	MasterArcher	Sniper	Ranger	Hunter	RangerLord	BountyHunter	Cleric	Priest	PriestLight	PriestDark	Druid	GreatDruid	ArchDruid	Warlock	Sorcerer	Wizard	ArchMage	Lich
Repair	B	B	E	E	-	-	-	-	M	M	G	G	M	M	E	E	E	E	-	-	-	-	-	-	E	E	E	E	-	-	-	-	E	E	M	M
Bodybuilding	M	M	G	G	E	E	M	M	E	E	E	E	M	M	M	M	E	E	M	M	E	E	M	M	B	B	E	E	-	-	E	E	-	-	E	E
Meditation	-	-	-	-	-	B	E	E	-	-	-	-	E	E	E	E	E	E	M	M	E	E	M	M	M	M	G	G	M	M	G	G	M	M	M	M
Perception	E	E	M	M	M	M	G	G	-	-	-	-	B	B	-	-	M	M	G	G	E	M	G	G	E	E	M	M	E	E	E	E	E	E	E	E
Diplomacy	B	B	B	B	-	-	-	-	B	B	B	B	M	M	-	-	-	-	-	-	E	E	E	E	M	M	M	M	-	-	-	-	B	B	-	-
Thievery	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DisarmTraps	B	B	E	E	E	M	G	G	B	B	B	B	-	-	-	-	E	E	M	M	E	E	M	M	-	-	-	-	-	-	-	-	-	E	M	M
Dodging	E	-	B	E	E	E	M	M	-	-	-	-	-	-	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Unarmed	E	M	M	M	B	B	E	E	-	-	-	-	-	-	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	E	E	E	E
IdentifyMonster	E	E	M	M	B	B	B	B	E	E	M	M	-	-	-	-	B	B	E	E	M	M	G	G	E	E	E	E	E	E	M	M	M	M	G	G
Armsmaster	E	M	M	M	E	E	M	M	E	M	G	G	E	E	M	M	B	E	E	E	E	E	M	M	-	-	-	-	B	B	E	E	-	-	-	-
Stealing	-	-	-	-	B	B	E	E	B	E	E	E	-	-	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E	E
Alchemy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	E	E	B	B	E	E	E	E	M	M	M	M	G	G	M	M	M	M
Learning	B	B	B	B	E	E	E	E	E	E	E	E	B	B	B	B	E	E	M	M	E	E	M	M	M	M	M	M	M	M	M	M	M	M	G	G
